"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Comparison of combination nifedipine-propranolol and diltiazem-propranolol with high dose diltiazem monotherapy for stable angina pectoris.","North America",1988,1,0,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"The symptomatic and objective effects of nifedipine in combination with beta-blocker therapy in severe angina pectoris.","Europe",1982,1,0,0,1,0,"blinded","1980s",2.30258509299405,"pharmacological",1
"Amlodipine once a day in stable angina: double-blind crossover comparison with placebo.","North America",1993,0,0,1,1,0,"blinded","1990s",3.78418963391826,"pharmacological",1
"Carvedilol versus verapamil in chronic stable angina: a multicentre trial.","Europe",1997,0,0,0,1,0,"blinded","1990s",5.51745289646471,"pharmacological",1
"Long-term antianginal and antiischemic effects of mibefradil, the novel T-type calcium channel blocker: a multicenter, double-blind, placebo-controlled, randomized comparison with sustained-release diltiazem.","Europe",1997,0,0,0,1,0,"blinded","1990s",5.33753807970132,"pharmacological",1
"[Coronary artery disease observed in general hospitals: ETTIC study. Comparison between trimetazidine and mononitrate isosorbide for patients receiving betablockers].","Europe",2002,1,0,0,1,0,NA,"2000s",5.2257466737132,"pharmacological",1
"Effect of metoprolol and amlodipine on myocardial total ischaemic burden in patients with stable angina pectoris.","Europe",1997,0,0,0,0,1,"blinded","1990s",3.97029191355212,"pharmacological",1
"A comparison of once daily bisoprolol, 5 and 10 mg, and atenolol 100 mg in the treatment of angina pectoris.","Europe",1987,1,0,0,1,0,"blinded","1980s",2.99573227355399,"pharmacological",1
"Holmium:YAG laser transmyocardial revascularization relieves angina and improves functional status.","North America",1999,0,0,1,1,0,"unblinded","1990s",4.46590811865458,"interventional",1
"A randomised controlled trial of a self-management plan for patients with newly diagnosed angina.","Europe",2002,0,1,0,0,0,"unblinded","2000s",4.96284463025991,"other",0
"Efficacy and safety of extended-release isosorbide mononitrate for stable effort angina pectoris.","North America",1993,0,0,0,1,0,"blinded","1990s",5.74939298590825,"pharmacological",1
"Spinal cord stimulation in chronic intractable angina pectoris: a randomized, controlled efficacy study.","Europe",1998,1,1,0,1,1,"unblinded","1990s",3.25809653802148,"interventional",1
"[Myocardial ischemia with stable angina pectoris: clinico-ergometric evaluation after the use of diltiazem].","Europe",1992,1,0,0,1,0,"blinded","1990s",4.47733681447821,"pharmacological",1
"A comparative study of three beta 1-adrenoreceptor blocking drugs with different degree of intrinsic stimulating activity (metoprolol, practolol and H 87/07) in patients with angina pectoris.","Europe",1978,1,0,0,1,0,NA,"1970s",3.40119738166216,"pharmacological",1
"A double-blind, parallel-group study of amlodipine versus long-acting nitrate in the management of elderly patients with stable angina.","Europe",2001,0,0,0,1,0,"blinded","2000s",5.28320372873799,"pharmacological",1
"[Opposing effects of propranolol and diltiazem on the angina threshold during an exercise test in patients with syndrome X].","Europe",1986,0,0,0,1,0,"blinded","1980s",2.63905732961526,"pharmacological",1
"Efficacy of nifedipine and isosorbide mononitrate in combination with atenolol in stable angina.","Europe",1991,1,0,0,1,1,"blinded","1990s",3.13549421592915,"pharmacological",1
"[Comparative study of the effect of drug therapy and its combination with hyperbaric oxygenation and hemosorption on stable angina pectoris].","Europe",1991,0,0,1,1,0,NA,"1990s",4.26267987704132,"other",1
"Efficacy of acebutolol in chronic stable angina using single-blind and randomized double-blind protocol.","North America",1982,1,0,0,1,0,"blinded","1980s",3.25809653802148,"pharmacological",1
"Treatment of hypertension associated with stable angina pectoris: favourable interaction between new metoprolol formulation (OROS) and nifedipine.","Europe",1996,1,0,0,1,1,"blinded","1990s",3.04452243772342,"pharmacological",1
"Sustained effect of and lack of development of tolerance to controlled-release isosorbide-5-mononitrate in chronic stable angina pectoris.","North America",1989,0,0,0,1,0,"blinded","1980s",2.94443897916644,"pharmacological",1
"Double-blind comparison of once daily betaxolol versus propranolol four times daily in stable angina pectoris. Betaxolol Investigators Group.","North America",1990,1,0,0,1,0,"blinded","1990s",4.72738781871234,"pharmacological",1
"Lack of negative inotropic effects of the new calcium antagonist Ro 40-5967 in patients with stable angina pectoris.","Europe",1991,1,0,0,1,0,"blinded","1990s",4.18965474202643,"pharmacological",1
"Transdermal monotherapy with mepindolol BIO TSD in patients with stable angina pectoris. Placebo-controlled, crossover investigation of a new therapeutic concept with 12-hours overnight application.","Europe",1991,1,0,0,0,1,"blinded","1990s",2.39789527279837,"pharmacological",1
"Anti-anginal efficacy of a controlled-release formulation of isosorbide-5-mononitrate once daily in angina patients on chronic beta-blockade.","Europe",1988,1,0,0,1,0,"blinded","1980s",4.26267987704132,"pharmacological",1
"Attenuation of nitrate effect during an intermittent treatment regimen and the time course of nitrate tolerance.","Europe",1991,0,0,0,1,0,"blinded","1990s",2.56494935746154,"pharmacological",1
"Transient myocardial ischemia during daily life in rest and exertional angina pectoris and comparison of effectiveness of metoprolol versus nifedipine.","Europe",1991,0,0,0,0,1,"blinded","1990s",4.17438726989564,"pharmacological",1
"Comparison of the duration of action of atenolol and nadolol for treatment of angina pectoris.","North America",1988,1,0,0,1,0,"blinded","1980s",2.83321334405622,"pharmacological",1
"[Evaluation on effects of disassembled formulas of Xuefu Zhuyu Decoction for treatment of angina pectoris using Seattle Angina Questionnaire].","Asia",2007,0,1,0,0,0,NA,"2000s",4.82028156560504,"other",0
"Percutaneous myocardial laser revascularization in patients with refractory angina pectoris.","Europe",2003,0,0,0,1,0,"unblinded","2000s",4.30406509320417,"interventional",1
"[Clinical evaluation of pentaerythritol tetranitrate in two doses in patients with stable angina pectoris].","Europe",2005,0,0,0,1,0,"blinded","2000s",3.25809653802148,"pharmacological",1
"Combination therapy with metoprolol and nifedipine versus monotherapy in patients with stable angina pectoris. Results of the International Multicenter Angina Exercise (IMAGE) Study.","Europe",1996,0,0,0,1,0,"blinded","1990s",5.67332326717149,"pharmacological",1
"Evaluating the angina plan in patients admitted to hospital with angina: a randomized controlled trial.","Europe",2011,0,1,0,0,0,"unblinded","2010-2026",5.3890717298165,"other",0
"Comparison of transdermal nitrate and isosorbide dinitrate in chronic stable angina.","Europe",1986,1,0,0,1,1,"blinded","1980s",3.17805383034795,"pharmacological",1
"Comparison of bepridil with nadolol for angina pectoris.","North America",1987,1,0,0,1,0,"blinded","1980s",3.2188758248682,"pharmacological",1
"[The emergence of silent myocardial ischemia as the manifestation of the nitrate withdrawal syndrome in patients with ischemic heart disease].","Europe",1996,0,1,0,0,1,NA,"1990s",2.56494935746154,"pharmacological",1
"[Acute effects of propranolol and its association with nifedipine in aged patients with effort stable angina. Randomized double-blind crossover study, under placebo control].","Europe",1993,0,0,0,1,0,"blinded","1990s",2.77258872223978,"pharmacological",1
"Usefulness and safety of percutaneous myocardial laser revascularization for refractory angina pectoris.","Europe",2004,0,0,1,0,0,"blinded","2000s",4.4188406077966,"interventional",0
"Effects of the calcium antagonist, isradipine, and nifedipine on resting and exercise haemodynamics and the neurohumoral system in patients with stable chronic angina.","Europe",1990,1,0,0,1,0,"blinded","1990s",2.30258509299405,"pharmacological",1
"[Nycthemeral changes in plasma concentrations of active nitrate derivatives. Comparison of a single dose of LP 60mg isosobide dinitrate and LP 20mg isosobide dinitrate administered 3 times daily].","Europe",1992,1,0,0,1,0,"blinded","1990s",4.84418708645859,"pharmacological",1
"Efficacy of anipamil, a phenylalkylamine calcium antagonist, in treatment of angina pectoris.","Europe",1994,1,0,0,1,0,"blinded","1990s",2.99573227355399,"pharmacological",1
"Cardioselective beta-blockade with metoprolol in rest angina: a randomized, double-blind, placebo-controlled, cross-over trial.","Europe",1989,1,0,0,0,1,"blinded","1980s",2.30258509299405,"pharmacological",1
"Efficacy of a device to narrow the coronary sinus in refractory angina.","Asia",2015,0,0,1,0,0,"blinded","2010-2026",4.65396035015752,"interventional",0
"The effects of beta blockade with (epanolol) and without (atenolol) intrinsic sympathomimetic activity in stable angina pectoris. The Visacor Study Group.","Europe",1992,1,0,0,0,0,"blinded","1990s",5.15905529921453,"pharmacological",0
"A double-blind evaluation of amlodipine in patients with chronic, stable angina: sustained efficacy and lack of ""withdrawal phenomenon"" upon abrupt discontinuation.","North America",1994,0,0,0,1,0,"blinded","1990s",5.4249500174814,"pharmacological",1
"Effectiveness of bevantolol in the treatment of angina--a placebo-controlled study.","North America",1986,1,1,0,1,0,"blinded","1980s",4.68213122712422,"pharmacological",1
"Nicardipine for angina pectoris at rest and coronary arterial spasm.","Australia",1985,1,0,0,0,1,"blinded","1980s",2.89037175789616,"pharmacological",1
"Cardiac rehabilitation to improve physical functioning in refractory angina: a pilot study.","Europe",2012,0,1,0,0,0,"unblinded","2010-2026",3.76120011569356,"other",0
"[Dose-response relationship of nitrate therapy of angina pectoris].","Europe",1986,1,0,0,1,0,"blinded","1980s",2.77258872223978,"pharmacological",1
"Individual responses to transdermal nitrates after chronic administration in angina pectoris.","Europe",1988,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Silent ischemic interval on exercise test is a predictor of response to drug therapy: a randomized crossover trial of metoprolol versus diltiazem in stable angina.","Asia",2001,1,1,0,1,0,"blinded","2000s",3.55534806148941,"pharmacological",1
"Thoracic spinal cord stimulation improves functional status and relieves symptoms in patients with refractory angina pectoris: the first placebo-controlled randomised study.","Europe",2007,0,0,0,1,0,"unblinded","2000s",2.56494935746154,"interventional",1
"Trial of invasive versus medical therapy in elderly patients with chronic symptomatic coronary-artery disease (TIME): a randomised trial.","Europe",2001,0,1,0,0,0,"unblinded","2000s",5.72358510195238,"interventional",0
"[Prolonged action nitrates in stable angina pectoris].","Europe",1991,1,0,0,0,0,"blinded","1990s",4.61512051684126,"pharmacological",0
"A comparison of epanolol and nifedipine in stable angina patients: results of a multicentre trial.","Europe",1991,1,1,0,0,0,"blinded","1990s",6.3491389913798,"pharmacological",0
"Poor tolerance and limited effects of isosorbide-5-mononitrate in microvascular angina.","Europe",2015,0,1,0,1,0,"blinded","2010-2026",3.04452243772342,"pharmacological",1
"""Maximal"" drug therapy is not necessarily optimal in chronic angina pectoris.","North America",1984,0,0,0,1,0,"blinded","1980s",2.99573227355399,"pharmacological",1
"[Nisoldipine in the therapy of stable exercise angina: evaluation of its efficacy in ergometric tests compared with propranolol].","Europe",1990,0,0,0,1,0,"blinded","1990s",3.29583686600433,"pharmacological",1
"Chronic stable angina monotherapy. Nifedipine versus propranolol.","North America",1989,1,0,1,1,0,"blinded","1980s",3.09104245335832,"pharmacological",1
"Anti-ischaemic and anti-anginal activity of atenolol, nifedipine and their combination in stable, chronic effort angina.","Europe",1988,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Interaction between cigarettes and propranolol in treatment of angina pectoris.","Europe",1980,0,0,0,1,0,"unblinded","1980s",2.39789527279837,"pharmacological",1
"Effectiveness of nifedipine GITS in combination with atenolol in chronic stable angina.","North America",1999,0,0,0,1,0,"blinded","1990s",5.3082676974012,"pharmacological",1
"[Comparison of the effects of depot isosorbide dinitrate (Isoket Retard 120) and diltiazem in patients with exertional angina pectoris].","Europe",1990,1,0,0,0,0,"blinded","1990s",2.63905732961526,"pharmacological",0
"Effect of a new transdermal therapeutic system containing nitroglycerin on exercise capacity in patients with angina pectoris.","Europe",1985,0,0,0,1,0,"blinded","1980s",2.77258872223978,"pharmacological",1
"[Value of the combination of trimetazidine (Vastarel 20 mg) with diltiazem (Tildiem 60 mg) in stable effort angina. A double-blind versus placebo multicenter study].","Europe",1995,0,0,0,1,0,"blinded","1990s",4.21950770517611,"pharmacological",1
"Comparison of antianginal efficacy of one conventional and three long acting beta-adrenoreceptor blocking agents in stable angina pectoris.","Europe",1981,1,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"Effects of coronary artery bypass grafting on resting and exercise hemodynamics in patients with stable angina pectoris: a prospective, randomized study.","North America",1976,0,0,0,1,0,"unblinded","1970s",4.36944785246702,"interventional",1
"Combined therapy with Ca-antagonists and beta-adrenergic receptor blocking agents in chronic stable angina.","Europe",1984,1,1,0,1,0,"unblinded","1980s",2.94443897916644,"pharmacological",1
"Slow-release gallopamil in patients with stable effort angina.","Europe",1992,0,0,0,1,0,"blinded","1990s",2.56494935746154,"pharmacological",1
"Double-blind randomised crossover trial comparing isosorbide dinitrate cream and oral sustained-release tablets in patients with angina pectoris.","Europe",1985,1,0,0,1,0,"blinded","1980s",3.36729582998647,"pharmacological",1
"Efficacy and safety of once- and twice-daily formulations of molsidomine in patients with stable angina pectoris: double-blind and open-label studies.","Europe",2006,0,0,0,1,0,"blinded","2000s",6.2803958389602,"pharmacological",1
"Assessment of metoprolol, a cardioselective beta-blocking agent, during chronic therapy in patients with angina pectoris.","Europe",1976,1,0,0,1,0,"blinded","1970s",2.39789527279837,"pharmacological",1
"Efficacy and safety of controlled-release isosorbide-5-mononitrate in Japanese patients with stable effort angina pectoris","Asia",2006,0,0,0,1,0,"blinded","2000s",3.46573590279973,"pharmacological",1
"Effect of sildenafil citrate upon myocardial ischemia in patients with chronic stable angina in therapy with beta-blockers.","Europe",2001,0,0,0,1,0,"blinded","2000s",2.70805020110221,"pharmacological",1
"Amlodipine in angina pectoris: effect on maximal and submaximal exercise performance.","North America",1988,1,0,0,1,0,"blinded","1980s",2.83321334405622,"pharmacological",1
"Intermittent transdermal nitroglycerin monotherapy in stable exercise-induced angina: a comparison with a continuous schedule.","Europe",1989,1,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Long-term efficacy of bepridil in patients with chronic stable angina pectoris: results of a multicenter, placebo-controlled study of extended bepridil use.","North America",1985,1,0,0,1,0,"blinded","1980s",3.52636052461616,"pharmacological",1
"Efficacy of the calcium antagonist isradipine in angina pectoris.","North America",1988,1,0,0,1,0,"blinded","1980s",3.61091791264422,"pharmacological",1
"[Chronic effects of percutaneous transmyocardial laser revascularization in patients with refractory angina].","Asia",2007,0,0,1,0,0,NA,"2000s",3.43398720448515,"interventional",0
"Prophylactic treatment of angina pectoris. A double-blind cross-over comparison of alprenolol and pentanitrol.","Europe",1970,1,1,0,0,0,"blinded","1970s",3.09104245335832,"pharmacological",0
"[Dynamics of structural functional parameters of cardiovascular system in patients with Stable Angina and Congestive Heart Failure treated with Ivabradine for six months].","Europe",2010,1,1,0,1,0,NA,"2010-2026",4.36944785246702,"pharmacological",1
"Intermittent transdermal nitrates do not improve ischemia in patients taking beta-blockers or calcium antagonists: potential role of rebound ischemia during the nitrate-free period.","Australia",1995,0,0,0,0,1,"blinded","1990s",4.07753744390572,"pharmacological",1
"[Comparison of anti-ischemic effect of bepridil and diltiazem evaluated by exercise test in patients with coronary disease. A multicenter study. Groupe d'Investigateurs].","Europe",1997,0,0,0,1,0,"blinded","1990s",5.00394630594546,"pharmacological",1
"What intervals in oral therapy of isosorbide dinitrate in various doses are sufficient to prevent nitrate tolerance?","Europe",2000,0,0,0,1,0,"blinded","2000s",3.66356164612965,"pharmacological",1
"[The prevention of nitrate tolerance in angina patients treated with transdermal nitroglycerin: a comparison of 2 therapeutic regimens (therapeutic outlook versus dosage reduction)].","Europe",1994,1,0,0,1,0,NA,"1990s",4.86753445045558,"pharmacological",1
"Acute and long-term effects on myocardial ischemia of intermittent and continuous transdermal nitrate therapy in stable angina.","Europe",1992,1,1,0,0,1,"blinded","1990s",4.45434729625351,"pharmacological",1
"Propranolol in angina pectoris. Comparison of long-acting and standard-formulation propranolol.","North America",1982,1,0,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"Clinical benefit of transdermal glyceryl trinitrate when used with an eight hour patch-free period.","Australia",1990,1,0,0,1,0,"blinded","1990s",2.83321334405622,"pharmacological",1
"Transmyocardial laser revascularization with the CO2 laser: one year results of a randomized, controlled trial.","North America",1999,0,1,1,0,0,"unblinded","1990s",5.29330482472449,"interventional",0
"[Quality of life and angina pectoris. Comparison of the effects of 2 nitrate derivatives administered discontinuously: transdermal 10 mg nitroglycerine patch (12 hours) and long-acting oral 40 mg isosorbide-5-mononitrate (once a day)].","Europe",2001,1,1,0,0,0,NA,"2000s",5.01727983681492,"pharmacological",0
"Preventive administration of intravenous N-acetylcysteine and development of tolerance to isosorbide dinitrate in patients with angina pectoris.","Europe",1992,0,0,0,1,0,"blinded","1990s",2.39789527279837,"pharmacological",1
"Long-term responses to nifedipine in patients with coronary spasm who have an initial favorable response.","North America",1983,1,0,0,0,0,"blinded","1980s",3.29583686600433,"pharmacological",0
"Electrical stimulation versus coronary artery bypass surgery in severe angina pectoris: the ESBY study.","Europe",1998,1,1,0,1,0,"unblinded","1990s",4.65396035015752,"interventional",1
"Acute effects of nifedipine, diltiazem and their combination in patients with chronic stable angina: a double-blind, randomized, cross-over, placebo-controlled study.","Europe",1993,0,0,0,1,0,"blinded","1990s",2.83321334405622,"pharmacological",1
"Improved physical performance as a therapeutic objective in patients with angina.","North America",1979,1,1,0,1,0,"blinded","1970s",6.26909628370626,"pharmacological",1
"[Amlodipine versus nifedipine retard. A randomized double-blind comparative study on long-term efficacy and safety of amlodipine and nifedipine retard in the monotherapy of chronic stable angina pectoris].","Europe",2001,1,0,0,1,0,"blinded","2000s",5.50125821054473,"pharmacological",1
"The effects of acupuncture in treatment of coronary heart diseases.","Asia",2004,0,0,1,1,0,NA,"2000s",4.35670882668959,"other",1
"Efficacy and safety of oral Guanxinshutong capsules in patients with stable angina pectoris in China: a prospective, multicenter, double-blind, placebo-controlled, randomized clinical trial.","Asia",2019,1,0,0,0,0,"blinded","2010-2026",5.70711026474888,"other",0
"Clinical utility of nifedipine and diltiazem plasma levels in patients with angina pectoris receiving monotherapy and combination treatment.","North America",1989,1,0,0,1,0,"blinded","1980s",3.17805383034795,"pharmacological",1
"[Comparative study between the therapeutic effects of surgical myocardial revascularization and coronary angioplasty in equivalent ischemic situations: analysis through myocardial scintigraphy with 99mTc-Sestamibi].","South America",2005,0,0,1,1,0,NA,"2000s",4.57471097850338,"interventional",1
"Effects of oral isradipine on left ventricular function at rest and during exercise in patients with stable chronic angina: a double-blind, placebo-controlled crossover study.","Europe",1992,0,0,1,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"Randomized crossover trial of isosorbide mononitrate (Elantan 20) and slow-release glyceryl trinitrate in the treatment of angina pectoris.","NA",1985,1,1,0,0,0,"unblinded","1980s",3.93182563272433,"pharmacological",0
"Transdermal nitroglycerin in angina pectoris: efficacy of intermittent application.","Australia",1987,1,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"Comparative haemodynamic dose-response effects of intravenous propranolol, acebutolol and penbutolol in angina pectoris.","Europe",1984,0,0,0,1,0,NA,"1980s",3.43398720448515,"pharmacological",1
"Increased exercise tolerance and reduced duration of ischemia after isosorbide dinitrate oral spray in angina pectoris.","Asia",1988,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Intermittent transdermal nitroglycerin therapy. Decreased anginal threshold during the nitrate-free interval.","North America",1995,0,0,0,1,0,"blinded","1990s",2.56494935746154,"pharmacological",1
"An open label, single-centre, randomized trial of spinal cord stimulation vs. percutaneous myocardial laser revascularization in patients with refractory angina pectoris: the SPiRiT trial.","Europe",2006,0,0,0,1,0,"unblinded","2000s",4.23410650459726,"interventional",1
"Comparison of nifedipine gastrointestinal therapeutic system and atenolol on antianginal efficacies and exercise hemodynamic responses in stable angina pectoris.","North America",1994,1,0,0,1,1,"blinded","1990s",2.89037175789616,"pharmacological",1
"Long-term efficacy of continuous and intermittent use of transdermal nitroglycerin in stable angina pectoris.","Europe",1991,0,0,0,1,0,"blinded","1990s",4.85203026391962,"pharmacological",1
"Assessment of verapamil in the treatment of angina pectoris.","Europe",1975,1,0,0,1,0,"blinded","1970s",3.87120101090789,"pharmacological",1
"Randomized double-blind comparison of isosorbide dinitrate and nifedipine in variant angina pectoris.","Europe",1990,1,0,0,1,1,"blinded","1990s",2.89037175789616,"pharmacological",1
"Effects of a new calcium antagonist, mibefradil (Ro 40-5967), on silent ischemia in patients with stable chronic angina pectoris: a multicenter placebo-controlled study. The Mibefradil International Study Group.","Asia",1996,1,0,0,0,1,"blinded","1990s",5.14749447681345,"pharmacological",1
"Calcium channel blockade as primary therapy for stable angina pectoris. A double-blind placebo-controlled comparison of verapamil and propranolol.","Europe",1982,0,0,0,1,1,"blinded","1980s",3.13549421592915,"pharmacological",1
"Nifedipine gastrointestinal therapeutic system versus atenolol in stable angina pectoris. The Netherlands Working Group on Cardiovascular Research (WCN).","Europe",1996,0,0,0,1,0,"blinded","1990s",4.86753445045558,"pharmacological",1
"Effects of diuretic therapy on the development of tolerance to nitroglycerin and exercise capacity in patients with chronic stable angina.","North America",1996,0,0,0,1,0,"blinded","1990s",2.56494935746154,"pharmacological",1
"[Are calcium inhibitors useful in the treatment of effort angina pectoris].","Europe",1983,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"[A comparative clinical study of calcium blockers, gallopamil and nifedipine, in the treatment of stable chest angina].","North America",1990,1,0,0,1,0,"blinded","1990s",3.3322045101752,"pharmacological",1
"Comparison of the effects of a controlled-release formulation of isosorbide-5-mononitrate and conventional isosorbide dinitrate on exercise performance in men with stable angina pectoris.","Europe",1990,1,0,0,1,0,"blinded","1990s",3.52636052461616,"pharmacological",1
"A double blind cross-over comparison of bunitrolol and placebo in the treatment of angina pectoris.","Europe",1981,0,0,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"Effect of doxycycline and atorvastatin on improving exercise tolerance in patients with angina pectoris.","Asia",2018,1,0,0,1,0,"blinded","2010-2026",5.01727983681492,"pharmacological",1
"Felodipine versus placebo in stable effort-induced angina pectoris in patients inadequately controlled with metoprolol--a dose-finding study.","Europe",1994,0,0,0,1,0,"blinded","1990s",4.20469261939097,"pharmacological",1
"Intermittent transdermal nitroglycerin therapy in the treatment of chronic stable angina.","North America",1989,0,0,0,1,0,"blinded","1980s",5.37527840768417,"pharmacological",1
"A cross-over study comparing the efficacy of a combination of atenolol and nifedipine at different doses in angina pectoris.","Europe",1995,1,0,0,1,0,"blinded","1990s",3.09104245335832,"pharmacological",1
"Efficacy of once daily bisoprolol in stable angina pectoris: an objective comparison with atenolol and long term follow-up.","Europe",1985,0,0,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"Spinal cord stimulation therapy for patients with refractory angina who are not candidates for revascularization.","North America",2012,1,0,0,0,0,"blinded","2010-2026",4.23410650459726,"interventional",0
"[Development of nitrate tolerance in individual patients with stable angina pectoris in various phases of therapy with oral isosorbide dinitrate].","Europe",2002,0,0,0,1,0,"blinded","2000s",3.66356164612965,"pharmacological",1
"Treatment of chronic angina pectoris with combination mibefradil and beta-blocker therapy.","North America",1998,1,0,0,1,0,"blinded","1990s",5.3082676974012,"pharmacological",1
"Comparison of the effects of pindolol and propranolol on exercise performance in patients with angina pectoris.","North America",1987,0,0,0,1,0,"blinded","1980s",2.484906649788,"pharmacological",1
"Efficacy and safety of molsidomine once-a-day in patients with stable angina pectoris.","Europe",2005,0,0,0,1,0,"blinded","2000s",6.2803958389602,"pharmacological",1
